institution, ror, year, count, oa status 
"Imperial College London",https://ror.org/041kmwe10,2013,827,hybrid
"Imperial College London",https://ror.org/041kmwe10,2014,4447,closed
"Imperial College London",https://ror.org/041kmwe10,2014,1696,green
"Imperial College London",https://ror.org/041kmwe10,2014,1508,bronze
"Imperial College London",https://ror.org/041kmwe10,2014,1230,gold
"Imperial College London",https://ror.org/041kmwe10,2014,1137,hybrid
"Imperial College London",https://ror.org/041kmwe10,2015,3779,closed
"Imperial College London",https://ror.org/041kmwe10,2015,2339,green
"Imperial College London",https://ror.org/041kmwe10,2015,1568,gold
"Imperial College London",https://ror.org/041kmwe10,2015,1504,bronze
"Imperial College London",https://ror.org/041kmwe10,2015,1455,hybrid
"Imperial College London",https://ror.org/041kmwe10,2016,3143,green
"Imperial College London",https://ror.org/041kmwe10,2016,3129,closed
"Imperial College London",https://ror.org/041kmwe10,2016,1782,gold
"Imperial College London",https://ror.org/041kmwe10,2016,1682,hybrid
"Imperial College London",https://ror.org/041kmwe10,2016,1543,bronze
"Imperial College London",https://ror.org/041kmwe10,2017,3525,green
"Imperial College London",https://ror.org/041kmwe10,2017,3022,closed
"Imperial College London",https://ror.org/041kmwe10,2017,2208,gold
"Imperial College London",https://ror.org/041kmwe10,2017,1941,hybrid
"Imperial College London",https://ror.org/041kmwe10,2017,1722,bronze
"Imperial College London",https://ror.org/041kmwe10,2018,3536,green
"Imperial College London",https://ror.org/041kmwe10,2018,3250,closed
"Imperial College London",https://ror.org/041kmwe10,2018,2512,gold
"Imperial College London",https://ror.org/041kmwe10,2018,2025,hybrid
"Imperial College London",https://ror.org/041kmwe10,2018,1662,bronze
"Imperial College London",https://ror.org/041kmwe10,2019,4105,green
"Imperial College London",https://ror.org/041kmwe10,2019,3585,closed
"Imperial College London",https://ror.org/041kmwe10,2019,2879,gold
"Imperial College London",https://ror.org/041kmwe10,2019,1896,hybrid
"Imperial College London",https://ror.org/041kmwe10,2019,1713,bronze
"Imperial College London",https://ror.org/041kmwe10,2020,4698,green
"Imperial College London",https://ror.org/041kmwe10,2020,3672,gold
"Imperial College London",https://ror.org/041kmwe10,2020,3515,closed
"Imperial College London",https://ror.org/041kmwe10,2020,2485,hybrid
"Imperial College London",https://ror.org/041kmwe10,2020,1813,bronze
"Imperial College London",https://ror.org/041kmwe10,2021,5006,gold
"Imperial College London",https://ror.org/041kmwe10,2021,4952,green
